user_id,total_views,unique_channels,last_view_date
939719,2,2,2016-03-31T19:33:00.000Z
930104,1,1,2016-03-29T21:49:00.000Z
866270,2,2,2016-03-19T09:27:00.000Z
858517,2,1,2016-03-25T16:17:00.000Z
789241,2,2,2016-02-21T09:20:00.000Z
1106301,2,1,2016-03-26T08:23:00.000Z
817331,1,1,2016-02-25T12:36:00.000Z
831826,2,2,2016-02-28T12:29:00.000Z
939723,1,1,2016-03-30T16:43:00.000Z
764451,1,1,2016-01-11T13:11:00.000Z
930111,1,1,2016-03-30T21:03:00.000Z
793693,4,3,2016-02-19T08:42:00.000Z
549032,2,2,2016-01-12T21:33:00.000Z
597265,3,3,2016-01-17T16:15:00.000Z
806431,1,1,2016-02-02T18:34:00.000Z
771924,1,1,2016-02-09T09:55:00.000Z
869019,2,2,2016-03-26T06:32:00.000Z
789265,4,2,2016-02-12T17:01:00.000Z
882400,1,1,2016-03-19T18:41:00.000Z
809063,3,2,2016-02-24T07:00:00.000Z
2368583,2,2,2016-02-26T16:27:00.000Z
786181,1,1,2016-03-05T19:14:00.000Z
2285716,2,2,2016-03-29T17:47:00.000Z
793697,1,1,2016-02-25T14:08:00.000Z
939732,2,1,2016-03-30T22:38:00.000Z
771927,7,4,2016-02-01T08:12:00.000Z
432894,1,1,2016-01-08T03:10:00.000Z
492897,2,2,2016-01-20T14:11:00.000Z
894339,1,1,2016-03-23T12:18:00.000Z
930123,2,2,2016-03-31T19:52:00.000Z
592732,1,1,2016-01-13T05:04:00.000Z
904340,3,2,2016-03-27T17:45:00.000Z
820491,1,1,2016-03-01T04:12:00.000Z
859431,1,1,2016-01-07T12:55:00.000Z
820492,3,3,2016-03-12T14:30:00.000Z
71489,1,1,2016-03-20T15:40:00.000Z
892603,1,1,2016-03-22T20:00:00.000Z
809071,1,1,2016-03-05T06:19:00.000Z
809072,3,2,2016-02-22T08:15:00.000Z
809076,17,6,2016-03-21T12:33:00.000Z
918340,1,1,2016-03-28T10:26:00.000Z
809079,4,4,2016-02-22T19:08:00.000Z
820500,1,1,2016-02-26T09:51:00.000Z
819358,3,3,2016-03-19T16:24:00.000Z
242356,1,1,2016-03-01T09:03:00.000Z
422095,1,1,2016-03-30T14:24:00.000Z
859438,1,1,2016-03-11T02:21:00.000Z
830921,1,1,2016-03-03T19:24:00.000Z
830923,3,2,2016-03-04T12:30:00.000Z
173765,1,1,2016-01-08T07:29:00.000Z
1324574,1,1,2016-03-05T01:39:00.000Z
