SUBID,month_id,watch_date,watch_time,month,day_name,day_type,month_Name,Tv_Channel,Time_of_day,Duration,Usage_level,hour_of_day,Region,Age,Age_Group,Email_flag,Social_Media_flag,Gender,Race
810572,2016-01-11,2016-01-11,08:46:00,2016-01,Mon,weekday,Jan,DStv Events 1,02 morning,00:01:10,05 extreme usage:>2 hrs,8,Western Cape,22,youth,1,1,male,None
257502,2016-03-28,2016-03-28,17:44:00,2016-03,Mon,weekday,Mar,Trace TV,03 afternoon,00:02:48,05 extreme usage:>2 hrs,17,Limpopo,22,youth,1,1,female,black
871615,2016-03-15,2016-03-15,19:10:00,2016-03,Tue,weekday,Mar,E! Entertainment,04 evening,00:53:02,05 extreme usage:>2 hrs,19,Gauteng,51,elder,1,1,male,white
934989,2016-03-28,2016-03-28,19:10:00,2016-03,Mon,weekday,Mar,Boomerang,04 evening,00:00:00,05 extreme usage:>2 hrs,19,Gauteng,30,youth,1,1,male,black
919031,2016-03-28,2016-03-28,10:44:00,2016-03,Mon,weekday,Mar,Cartoon Network,02 morning,00:00:04,05 extreme usage:>2 hrs,10,Northern Cape,25,youth,1,1,male,coloured
941493,2016-03-08,2016-03-08,11:29:00,2016-03,Tue,weekday,Mar,Cartoon Network,02 morning,00:19:28,05 extreme usage:>2 hrs,11,Western Cape,50,adult,1,1,female,coloured
941493,2016-03-08,2016-03-08,21:34:00,2016-03,Tue,weekday,Mar,SuperSport Blitz,04 evening,00:00:30,05 extreme usage:>2 hrs,21,Western Cape,50,adult,1,1,female,coloured
770770,2016-02-03,2016-02-03,19:43:00,2016-02,Wed,weekday,Feb,SuperSport Blitz,04 evening,00:06:34,05 extreme usage:>2 hrs,19,Western Cape,19,teenager,1,1,male,black
810573,2016-02-05,2016-02-05,13:20:00,2016-02,Fri,weekday,Feb,Cartoon Network,03 afternoon,00:00:40,05 extreme usage:>2 hrs,13,Gauteng,18,teenager,1,1,male,white
810573,2016-02-23,2016-02-23,08:47:00,2016-02,Tue,weekday,Feb,Trace TV,02 morning,00:01:48,05 extreme usage:>2 hrs,8,Gauteng,18,teenager,1,1,male,white
810573,2016-02-28,2016-02-28,09:41:00,2016-02,Sun,weekday,Feb,Trace TV,02 morning,00:04:00,05 extreme usage:>2 hrs,9,Gauteng,18,teenager,1,1,male,white
810574,2016-02-19,2016-02-19,17:50:00,2016-02,Fri,weekday,Feb,Supersport Live Events,03 afternoon,00:38:00,05 extreme usage:>2 hrs,17,Kwazulu Natal,48,adult,1,1,male,indian_asian
810574,2016-02-04,2016-02-04,18:32:00,2016-02,Thu,weekday,Feb,Supersport Live Events,04 evening,00:01:52,05 extreme usage:>2 hrs,18,Kwazulu Natal,48,adult,1,1,male,indian_asian
810574,2016-03-06,2016-03-06,06:20:00,2016-03,Sun,weekday,Mar,ICC Cricket World Cup 2011,02 morning,01:30:24,05 extreme usage:>2 hrs,6,Kwazulu Natal,48,adult,1,1,male,indian_asian
833528,2016-03-13,2016-03-13,15:34:00,2016-03,Sun,weekday,Mar,ICC Cricket World Cup 2011,03 afternoon,02:35:02,05 extreme usage:>2 hrs,15,Gauteng,42,adult,1,1,male,black
833528,2016-01-15,2016-01-15,15:09:00,2016-01,Fri,weekday,Jan,Supersport Live Events,03 afternoon,00:00:00,05 extreme usage:>2 hrs,15,Gauteng,42,adult,1,1,male,black
833528,2016-03-06,2016-03-06,07:17:00,2016-03,Sun,weekday,Mar,ICC Cricket World Cup 2011,02 morning,01:18:48,05 extreme usage:>2 hrs,7,Gauteng,42,adult,1,1,male,black
